TAG|SHORT|LONG|DISPLAY_ORDER|PARENT_TAG|HIER_NUM|HIER_NAME|HIER_LEVEL_NUM|HIER_LEVEL_NAME
M000000000000100249400000000000001005858|Total Coverage|GB Total Coverage|1||1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|1|GB_M_1_AB_TOTALCOVERAGE
M000000000000100249400000000000001006867|Convenience|GB Total Coverage Convenience|2|M000000000000100249400000000000001005858|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|2|GB_M_3_CONSUMERGROUP
M000000000000100249400000000000001006868|Convenience Stores|GB Total Coverage Convenience Convenience Stores|3|M000000000000100249400000000000001006867|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|3|Consumer View
M000000000000100249400000000000001006652|High Street|GB Total Coverage High Street|4|M000000000000100249400000000000001005858|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|2|GB_M_3_CONSUMERGROUP
M000000000000100249400000000000001006653|Large Stores|GB Total Coverage High Street Large Stores|5|M000000000000100249400000000000001006652|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|3|Consumer View
M000000000000100249400000000000001006654|Small Stores|GB Total Coverage High Street Small Stores|6|M000000000000100249400000000000001006652|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|3|Consumer View
M000000000000100249400000000000001006649|Out of Town|GB Total Coverage Out of Town|7|M000000000000100249400000000000001005858|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|2|GB_M_3_CONSUMERGROUP
M000000000000100249400000000000001006650|Megastores|GB Total Coverage Out of Town Megastores|8|M000000000000100249400000000000001006649|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|3|Consumer View
M000000000000100249400000000000001006651|Superstores|GB Total Coverage Out of Town Superstores|9|M000000000000100249400000000000001006649|1|1002494GB AB TOTAL COVERAGE BY CONSUMER VIEW|3|Consumer View
M000000000000102328700000000000001047268|Symbols|GB Symbols|10||2|1023287GB SYMBOLS|1|GB_M_1_SYMBOLS
M000000000000103086400000000000001063710|Wilkinson GSD|GB Wilkinson GSD|11||3|1030864GB AE WILKINSON GSD|1|GB_M_1_AE_WILKINSONGSD
M000000000000103175200000000000001065269|Grocery Multiples|GB Grocery Multiples|12||4|1031752GB A GROCERY MULTIPLES BY REGION|1|GB_M_1_A_GROCMULT
M000000000000103175200000000000001065270|England & Wales|GB Grocery Multiples England & Wales|13|M000000000000103175200000000000001065269|4|1031752GB A GROCERY MULTIPLES BY REGION|2|GB_M_2_E&W/SCOT
M000000000000103175200000000000001065272|Central|GB Grocery Multiples England & Wales Central|14|M000000000000103175200000000000001065270|4|1031752GB A GROCERY MULTIPLES BY REGION|3|GB_M_10_REGION
M000000000000103175200000000000001065279|East of England|GB Grocery Multiples England & Wales East of England|15|M000000000000103175200000000000001065270|4|1031752GB A GROCERY MULTIPLES BY REGION|3|GB_M_10_REGION
M000000000000103175200000000000001065274|Lancs and English Border|GB Grocery Multiples England & Wales Lancs and English Border|16|M000000000000103175200000000000001065270|4|1031752GB A GROCERY MULTIPLES BY REGION|3|GB_M_10_REGION
M000000000000103175200000000000001065277|London|GB Grocery Multiples England & Wales London|17|M000000000000103175200000000000001065270|4|1031752GB A GROCERY MULTIPLES BY REGION|3|GB_M_10_REGION
